sentence,unfair_label,law_article,article_number
"① 을은 갑에게 '상큼 토닉 레모네이드'를 직접 생산하거나 수입한 상품을 납품하는 것을 원칙으로 한다. 다만, 갑의 사전 동의가 있을 경우 제3자가 생산하거나 수입한 '상큼 토닉 레모네이드'를 납품할 수 있다.",0,0,19
"② 을은 이 계약에 따라 '청정 과일 스파클링 음료'를 납품하면서, 자신이 직접 생산하거나 수입하지 않은 음료에 상표라벨을 교체하여 납품하여서는 아니 된다.",0,0,19
"③ 을이 제1항 또는 제2항을 위반한 사실이 확인될 경우, 갑은 적절한 기간을 설정하여 이를 바로잡을 것을 요구할 수 있으며, 이 시정 기간 내에 문제가 해결되지 않을 경우 이 계약을 해지하고 거래를 종료할 수 있다. 이 경우 을은 갑과 갑의 고객, 그리고 제3자가 입은 손해를 모두 배상해야 한다.",0,0,19
"① 을은 갑에게 '청량한 여름' 음료를 직접 생산하거나 수입하는 것을 원칙으로 한다. 다만, 갑의 사전 동의가 있을 경우 제3자가 생산하거나 수입한 '청량한 여름' 음료를 납품할 수 있다.",0,0,19
"② 을은 이 계약에 따라 '청량감 가득 레몬 에이드'를 납품하면서, 자신이 직접 생산하거나 수입하지 않은 청량감 가득 레몬 에이드의 상표 라벨을 교체하여 납품하여서는 아니 된다.",0,0,19
"③ 을이 제1항 또는 제2항을 위반한 사실이 발견될 경우, 갑은 상당한 기간을 정하여 이를 시정할 것을 요구할 수 있으며, 이 기간 내에 시정이 이루어지지 않을 경우 이 계약을 해지하고 거래를 종료할 수 있다. 이 경우 을은 갑, 갑의 고객 및 제3자가 입은 손해를 배상한다.",0,0,19
"① 을은 갑에게 '푸른 바다의 상쾌한 에너지' 음료를 납품하는 것을 원칙으로 한다. 다만, 갑의 사전 동의가 있을 경우 제3자가 생산하거나 수입한 '푸른 바다의 상쾌한 에너지' 음료를 납품할 수 있다.",0,0,19
"② 을은 이 계약에 따라 '상큼한 바다의 파도' 음료를 납품하면서, 자신이 직접 생산하거나 수입하지 않은 제품에 상표라벨을 임의로 교체하여 납품하여서는 아니 된다.",0,0,19
"③ 갑은 을이 제1항 또는 제2항을 위반한 사실이 확인될 경우, 정해진 기간 내에 이를 시정할 것을 요청할 수 있으며, 이 기간 안에 시정이 이루어지지 않을 경우 이 계약을 종료하고 모든 거래를 마무리할 수 있다. 이 경우 을은 갑, 갑의 고객 및 제3자가 입은 손해에 대해 책임을 지고 배상해야 한다.",0,0,19
"① 을은 갑에게 '상큼한 레몬 스파클링'을 직접 생산하거나 수입하는 것을 원칙으로 한다. 다만, 갑의 사전 동의가 있을 경우 제3자가 생산하거나 수입한 '상큼한 레몬 스파클링'을 납품할 수 있다.",0,0,19
"② 을은 이 계약에 따라 '프레쉬 블렌드 에이드'를 납품하면서, 자신이 직접 생산하거나 수입하지 않은 '프레쉬 블렌드 에이드'에 상표라벨을 교체하여 납품하여서는 아니 된다.",0,0,19
"③ 을이 제1항 또는 제2항을 위반한 사실이 확인될 경우, 갑은 적절한 기간을 설정하여 이를 수정할 것을 요청할 수 있으며, 이 기간 내에 수정이 이뤄지지 않을 시 이 계약을 해지하고 거래를 종료할 수 있다. 이 경우 을은 갑, 갑의 고객 및 제3자가 입은 손해를 배상해야 한다.",0,0,19
"① 을은 갑에게 '청량한 바다의 맛'이라는 음료를 납품하는 것을 원칙으로 한다. 다만, 갑의 사전 동의가 있을 경우 제3자가 생산하거나 수입한 '청량한 바다의 맛' 음료를 납품할 수 있다.",0,0,19
"② 을은 이 계약에 따라 상큼한 유자 펀치 음료를 납품하면서, 자신이 직접 생산하거나 수입하지 않은 유자 펀치 음료에 대한 상표 라벨을 교체하여 납품하여서는 아니 된다.",0,0,19
"③ 을이 제1항 또는 제2항을 위반한 사실이 드러난 경우, 갑은 특정 기간을 설정하여 이를 수정할 것을 요구할 수 있으며, 이 기간 내에 수정이 이루어지지 않을 시 이 계약을 해지하고 거래를 종료할 수 있다. 이 경우 을은 갑, 갑의 고객 및 제3자가 입은 손해를 배상하는 책임을 진다.",0,0,19
"① 을은 갑에게 '상큼한 레몬 에이드'를 직접 생산하거나 수입한 음료를 납품하는 것을 원칙으로 한다. 다만, 갑의 사전 동의가 있을 경우 제3자가 생산하거나 수입한 음료를 납품할 수 있다.",0,0,19
"② 을은 이 계약에 따라 '상큼한 과일 스파클링' 음료를 납품하면서, 자신이 직접 생산하거나 수입하지 않은 음료에 상표라벨을 교체하여 납품하여서는 아니 된다.",0,0,19
"③ 을이 제1항 또는 제2항을 위반한 사실이 확인될 경우, 갑은 적절한 기간을 설정하여 이를 수정하도록 요구할 수 있으며, 이 기간 내에 수정이 이루어지지 않는다면 이 계약을 해지하고 거래를 종료할 수 있다. 이 경우 을은 갑, 갑의 고객 및 제3자가 입은 손해를 배상해야 한다.",0,0,19
"① 을은 갑에게 '청량한 오렌지 에이드'를 직접 생산하거나 수입한 음료를 납품하는 것을 원칙으로 한다. 다만, 갑의 사전 동의가 있을 경우 제3자가 생산하거나 수입한 음료를 납품할 수 있다.",0,0,19
"② 을은 이 계약에 따라 '청량한 바람' 음료를 납품하면서, 자신이 직접 생산하거나 수입하지 않은 '청량한 바람' 음료에 상표라벨을 교체하여 납품하여서는 아니 된다.",0,0,19
