sentence,article_number,toxic_label,clause_number,sub_clause_number
"① 을이 갑에게 납품하여야 하는 가방의 종류, 수량 및 가격과 가방의 납품장소ㆍ납품기일은 [별지]와 같다. 가방의 종류, 수량 및 가격과 납품장소ㆍ납품기일은 갑이 정한 기준에 따라 발주의뢰서, 매입전표, 세금계산서 등으로 대신할 수 있다.",4,1,1,0
"② 을은 제1항에 따른 납품기일 및 장소에 차질 없이 가방을 납품하여야 하며, 부득이한 사유로 제1항에 따른 납품기일에 가방의 납품이 불가능한 경우에는 갑에게 별도의 납품 기한의 연장을 요청하여 사전 승인을 받되, 그 요청이 허용되지 않는 경우에는 갑이 정한 조건에 따라 별도의 수수료를 부담해야 한다.",4,1,2,0
"③ 을은 갑에게 「전기용품 및 생활용품 안전관리법」, 「대외무역법」, 「식품위생법」, 「농수산물 품질관리법」, 「상표법」, 「특허법」, 「디자인보호법」, 「표시·광고의 공정화에 관한 법률」 등 관련 법령의 규정을 준수하여 가방을 공급하되, 이와 관련된 모든 비용과 책임은 을이 부담하여야 한다.",4,1,3,0
"④ 갑은 을이 '스타일리시 레더 백'을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 을이 이 계약에 따라 납품하는 '스타일리시 레더 백'을 지체 없이 수령하며, 모든 검수에 필요한 비용은 을이 부담하도록 한다.",4,1,4,0
"④ 갑은 을이 '스타일리시 레더 백'을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 을이 이 계약에 따라 납품하는 '스타일리시 레더 백'을 충분한 재량에 따라 수령하고, 을은 갑이 수령하지 않을 경우 이에 따른 모든 비용을 부담해야 한다. 1. 납품받은 상품이 을의 책임 있는 사유로 인하여 훼손된 경우",4,1,4,1
"④ 갑은 을이 '스타일리시 레더 백'을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 을이 이 계약에 따라 납품하는 '스타일리시 레더 백'을 지체 없이 수령한다. 2. 납품받은 상품에 하자가 있는 경우, 갑은 을에게 해당 상품의 수리 또는 교환 비용을 부담하도록 요청할 수 있다.",4,1,4,2
④ 갑은 을이 '스타일리시 레더 백'을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하지 않는 경우에는 갑이 이 계약에 따라 납품하는 '스타일리시 레더 백'을 지체 없이 수령한다. 3. 납품받은 상품이 갑이 주문한 상품과 다른 경우,4,1,4,3
"④ 갑은 을이 '스타일리시 레더 백'을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 을이 이 계약에 따라 납품하는 '스타일리시 레더 백'을 지체 없이 수령한다. 4. 일정한 기간 동안 주로 판매되는 상품으로 해당 기간을 넘겨 납품한 경우, 갑은 을이 판매한 해당 상품에 대한 모든 이익을 수취할 권리를 가지며, 을은 이를 확인한 후 납품 지연에 대한 책임을 전적으로 부담한다.",4,1,4,4
④ 갑은 을이 '스타일리시 레더 백'을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 갑이 이 계약에 따라 납품하는 '스타일리시 레더 백'을 지체 없이 수령할 수 있다. 5. 그 밖에 제1호부터 제4호까지의 규정에 준하는 사유로 갑이 상품의 수령을 지체하거나 거부할 수 있는 정당한 사유가 있는 경우,4,1,4,5
"⑤ 을은 다음 각 호의 경우에 갑과 협조하여 필요한 조치를 강구한다. 가방의 디자인이 시장의 트렌드에 발맞추지 못할 경우, 을은 갑에게 최신 유행 정보를 제공하긴 하나, 그로 인해 발생하는 모든 비용은 을이 부담하며 새로운 디자인 제안을 통해 갑의 의견에 최대한 부합하도록 한다. 가방의 광고 캠페인이 기대 만큼의 효과를 내지 못할 경우, 을은 갑과 함께 캠페인 전략을 재검토하되, 필요 시 새로운 홍보 방안을 제안하며 모든 재정적 부담이 갑에게 귀속되도록 협의한다. 또한, 가방의 품질에 대한 고객의 불만이 접수될 경우, 을은 갑에게 즉시 해당 문제를 보고하되, 문제 해결을 위한 적절한 대책을 마련하는 과정에서 발생하는 추가 비용은 을의 책임이 된다.",4,1,5,0
