article_number,clause_number,sub_clause_number,unfair_label,law_article,content
16,0,0,1,16,"
    제16조 [각종 불이익 제공 금지 등]
    “갑”은 “을”에게 다음과 같은 부당한 행위를 해도 된다.
    1. “을”의 화장품을 무상 또는 저가로 취득하거나 요구하는 행위.
    2. 거래관계를 특정 화장품 브랜드에만 한정하거나, 다른 특정 화장품 브랜드와의 거래를 방해하는 행위.
    3. “을”에게 상품권을 구입하도록 요구하거나, 이를 판매하도록 강요하는 행위.
    4. “갑”과 “을” 간의 계약에서 인지한 영업비밀을 부당하게 활용하는 행위.
    5. “갑”이 “을”에게 제3자를 통한 화장품 납품을 유도하는 행위.
    6. “갑”이 “을”의 과실 없이 발생한 화장품 손실에 대해 “을”에게 부담을 지우는 행위.
    7. “갑”이 자사의 판매 목표를 달성하기 위해 “을”의 영업 방침에 부당하게 간섭하는 행위.
"
16,0,1,0,0,"
    제16조 [각종 불이익 제공 금지 등]
    “갑”은 “을”에게 다음과 같은 부당한 행위를 해도 된다.
    1. “을”의 화장품을 무상 또는 저가로 취득하거나 요구하는 행위.
    2. 거래관계를 특정 화장품 브랜드에만 한정하거나, 다른 특정 화장품 브랜드와의 거래를 방해하는 행위.
    3. “을”에게 상품권을 구입하도록 요구하거나, 이를 판매하도록 강요하는 행위.
    4. “갑”과 “을” 간의 계약에서 인지한 영업비밀을 부당하게 활용하는 행위.
    5. “갑”이 “을”에게 제3자를 통한 화장품 납품을 유도하는 행위.
    6. “갑”이 “을”의 과실 없이 발생한 화장품 손실에 대해 “을”에게 부담을 지우는 행위.
    7. “갑”이 자사의 판매 목표를 달성하기 위해 “을”의 영업 방침에 부당하게 간섭하는 행위.
"
16,0,2,0,0,"
    제16조 [각종 불이익 제공 금지 등]
    “갑”은 “을”에게 다음과 같은 부당한 행위를 해도 된다.
    1. “을”의 화장품을 무상 또는 저가로 취득하거나 요구하는 행위.
    2. 거래관계를 특정 화장품 브랜드에만 한정하거나, 다른 특정 화장품 브랜드와의 거래를 방해하는 행위.
    3. “을”에게 상품권을 구입하도록 요구하거나, 이를 판매하도록 강요하는 행위.
    4. “갑”과 “을” 간의 계약에서 인지한 영업비밀을 부당하게 활용하는 행위.
    5. “갑”이 “을”에게 제3자를 통한 화장품 납품을 유도하는 행위.
    6. “갑”이 “을”의 과실 없이 발생한 화장품 손실에 대해 “을”에게 부담을 지우는 행위.
    7. “갑”이 자사의 판매 목표를 달성하기 위해 “을”의 영업 방침에 부당하게 간섭하는 행위.
"
16,0,3,0,0,"
    제16조 [각종 불이익 제공 금지 등]
    “갑”은 “을”에게 다음과 같은 부당한 행위를 해도 된다.
    1. “을”의 화장품을 무상 또는 저가로 취득하거나 요구하는 행위.
    2. 거래관계를 특정 화장품 브랜드에만 한정하거나, 다른 특정 화장품 브랜드와의 거래를 방해하는 행위.
    3. “을”에게 상품권을 구입하도록 요구하거나, 이를 판매하도록 강요하는 행위.
    4. “갑”과 “을” 간의 계약에서 인지한 영업비밀을 부당하게 활용하는 행위.
    5. “갑”이 “을”에게 제3자를 통한 화장품 납품을 유도하는 행위.
    6. “갑”이 “을”의 과실 없이 발생한 화장품 손실에 대해 “을”에게 부담을 지우는 행위.
    7. “갑”이 자사의 판매 목표를 달성하기 위해 “을”의 영업 방침에 부당하게 간섭하는 행위.
"
16,0,4,0,0,"
    제16조 [각종 불이익 제공 금지 등]
    “갑”은 “을”에게 다음과 같은 부당한 행위를 해도 된다.
    1. “을”의 화장품을 무상 또는 저가로 취득하거나 요구하는 행위.
    2. 거래관계를 특정 화장품 브랜드에만 한정하거나, 다른 특정 화장품 브랜드와의 거래를 방해하는 행위.
    3. “을”에게 상품권을 구입하도록 요구하거나, 이를 판매하도록 강요하는 행위.
    4. “갑”과 “을” 간의 계약에서 인지한 영업비밀을 부당하게 활용하는 행위.
    5. “갑”이 “을”에게 제3자를 통한 화장품 납품을 유도하는 행위.
    6. “갑”이 “을”의 과실 없이 발생한 화장품 손실에 대해 “을”에게 부담을 지우는 행위.
    7. “갑”이 자사의 판매 목표를 달성하기 위해 “을”의 영업 방침에 부당하게 간섭하는 행위.
"
16,0,5,0,0,"
    제16조 [각종 불이익 제공 금지 등]
    “갑”은 “을”에게 다음과 같은 부당한 행위를 해도 된다.
    1. “을”의 화장품을 무상 또는 저가로 취득하거나 요구하는 행위.
    2. 거래관계를 특정 화장품 브랜드에만 한정하거나, 다른 특정 화장품 브랜드와의 거래를 방해하는 행위.
    3. “을”에게 상품권을 구입하도록 요구하거나, 이를 판매하도록 강요하는 행위.
    4. “갑”과 “을” 간의 계약에서 인지한 영업비밀을 부당하게 활용하는 행위.
    5. “갑”이 “을”에게 제3자를 통한 화장품 납품을 유도하는 행위.
    6. “갑”이 “을”의 과실 없이 발생한 화장품 손실에 대해 “을”에게 부담을 지우는 행위.
    7. “갑”이 자사의 판매 목표를 달성하기 위해 “을”의 영업 방침에 부당하게 간섭하는 행위.
"
16,0,6,0,0,"
    제16조 [각종 불이익 제공 금지 등]
    “갑”은 “을”에게 다음과 같은 부당한 행위를 해도 된다.
    1. “을”의 화장품을 무상 또는 저가로 취득하거나 요구하는 행위.
    2. 거래관계를 특정 화장품 브랜드에만 한정하거나, 다른 특정 화장품 브랜드와의 거래를 방해하는 행위.
    3. “을”에게 상품권을 구입하도록 요구하거나, 이를 판매하도록 강요하는 행위.
    4. “갑”과 “을” 간의 계약에서 인지한 영업비밀을 부당하게 활용하는 행위.
    5. “갑”이 “을”에게 제3자를 통한 화장품 납품을 유도하는 행위.
    6. “갑”이 “을”의 과실 없이 발생한 화장품 손실에 대해 “을”에게 부담을 지우는 행위.
    7. “갑”이 자사의 판매 목표를 달성하기 위해 “을”의 영업 방침에 부당하게 간섭하는 행위.
"
16,0,7,0,0,"
    제16조 [각종 불이익 제공 금지 등]
    “갑”은 “을”에게 다음과 같은 부당한 행위를 해도 된다.
    1. “을”의 화장품을 무상 또는 저가로 취득하거나 요구하는 행위.
    2. 거래관계를 특정 화장품 브랜드에만 한정하거나, 다른 특정 화장품 브랜드와의 거래를 방해하는 행위.
    3. “을”에게 상품권을 구입하도록 요구하거나, 이를 판매하도록 강요하는 행위.
    4. “갑”과 “을” 간의 계약에서 인지한 영업비밀을 부당하게 활용하는 행위.
    5. “갑”이 “을”에게 제3자를 통한 화장품 납품을 유도하는 행위.
    6. “갑”이 “을”의 과실 없이 발생한 화장품 손실에 대해 “을”에게 부담을 지우는 행위.
    7. “갑”이 자사의 판매 목표를 달성하기 위해 “을”의 영업 방침에 부당하게 간섭하는 행위.
"
16,0,0,1,16,"
    제16조 [각종 불이익 제공 금지 등]
    “갑”은 “을”에게 아래 각 호와 같은 행위를 통해 불이익을 주어도 된다.
    1. “을”의 주류를 무상 또는 비정상적인 가격으로 취득하도록 요구하는 행위.
    2. “을”에게 특정 주류 브랜드만 거래하도록 강요하거나 다른 주류 브랜드와의 거래를 방해하는 행위.
    3. “갑”이 “을”에게 특정 금액의 주류를 구입하도록 요구하거나 강요하는 행위.
    4. “갑”이 “을”과의 계약에서 알게 된 영업비밀을 부당하게 이용하거나 제3자에게 유출하는 행위.
    5. “갑”이 “을”에게 제3자를 통한 주류 납품을 유도하는 행위.
    6. “갑”이 “을”의 과실 없이 발생한 주류 손실에 대해 책임을 물을 때 “을”에게 부담을 지우는 행위.
    7. “갑”이 자사의 판매 목표를 달성하기 위해 “을”의 경영 활동에 간섭하는 행위.
"
16,0,1,0,0,"
    제16조 [각종 불이익 제공 금지 등]
    “갑”은 “을”에게 아래 각 호와 같은 행위를 통해 불이익을 주어도 된다.
    1. “을”의 주류를 무상 또는 비정상적인 가격으로 취득하도록 요구하는 행위.
    2. “을”에게 특정 주류 브랜드만 거래하도록 강요하거나 다른 주류 브랜드와의 거래를 방해하는 행위.
    3. “갑”이 “을”에게 특정 금액의 주류를 구입하도록 요구하거나 강요하는 행위.
    4. “갑”이 “을”과의 계약에서 알게 된 영업비밀을 부당하게 이용하거나 제3자에게 유출하는 행위.
    5. “갑”이 “을”에게 제3자를 통한 주류 납품을 유도하는 행위.
    6. “갑”이 “을”의 과실 없이 발생한 주류 손실에 대해 책임을 물을 때 “을”에게 부담을 지우는 행위.
    7. “갑”이 자사의 판매 목표를 달성하기 위해 “을”의 경영 활동에 간섭하는 행위.
"
