sentence,label
"을(판매자)은 공급자가 요청한 가격을 변경할 수 있으며, 이에 대한 사전 통지 없이 가격을 변경할 수 있다.",1
갑은 계약 해지 시 어떠한 보상도 요구할 수 없다.,1
"을은 갑이 제공하는 마케팅 자료를 반드시 사용해야 하며, 이를 거부할 수 없다.",1
"갑은 을의 공급이 지연되었을 때, 그에 대한 책임을 지지 않는다.",1
"을은 갑의 승인을 받지 않고, 공급 품목에 대한 변경을 할 수 있다.",1
"갑은 계약 기간 동안 판매량에 대해 최소한의 보증을 하지 않으며, 공급량을 제한할 수 있다.",1
"을은 갑의 요구에 따라 언제든지 계약을 종료할 수 있으며, 을의 책임은 없다.",1
"갑은 계약 이행을 위한 모든 비용을 부담하며, 을은 추가적인 비용을 요구할 수 없다.",1
"을은 갑이 요구하는 모든 조건을 무조건적으로 따라야 하며, 조건 변경은 불가능하다.",1
을은 갑의 요청이 없으면 계약 갱신에 대해 아무런 권리를 주장할 수 없다.,1
"을(판매자)은 가격 변경 시 최소 30일 전에 갑(구매자)에게 서면으로 통지하고, 갑은 이에 대해 협의할 수 있다.",0
갑은 계약 해지 시 발생한 손해에 대해 합리적인 보상을 요구할 수 있다.,0
"을은 갑이 제공하는 마케팅 자료를 사용하되, 이를 사용하지 않을 이유가 있을 경우 사전 협의를 통해 대체안을 제시할 수 있다.",0
"갑은 을의 공급이 지연될 경우, 발생한 지연에 대해 협의하여 대체 공급 방안을 마련할 수 있다.",0
"을은 공급 품목에 변경이 필요한 경우, 갑의 서면 승인을 받아야 한다.",0
"갑은 계약 기간 동안 판매량에 대해 합리적인 보증을 제공하며, 공급량의 제한이 필요한 경우 미리 협의하여 합의한다.",0
"을은 계약 종료 시 최소 30일 전에 갑에게 통지하고, 종료로 인한 책임과 의무를 상호 협의하여 정리한다.",0
"갑과 을은 계약 이행을 위한 비용을 공정하게 분담하고, 예상되는 추가 비용에 대해 미리 협의하여 합의한다.",0
